Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,TIPODOCUMENTO,TipoDeDocumento
18,"DL Martins, MF Silva, JES Segundo…",Repositório digital com o software livre Tainacan: revisão da ferramenta e exemplo de implantação na área cultural com a Revista Filme Cultura,2017.0,… DE PESQUISA EM …,pesquisa.tainacan.org,https://pesquisa.tainacan.org/wp-content/uploads/tainacan-items/4329/4359/repositorio-digital.pdf,"https://scholar.google.com/scholar?cites=6112398706694988209&as_sdt=2005&sciodt=0,5&hl=en",1,2024-04-25 13:44:42,PDF,,,,,,,,18,2.57,5,4,7.0,"… É, portanto, objetivo deste artigo apresentar o software livre Tainacan para a construção de … como o software foi utilizado em um estudo de caso para a construção de um repositório no …",https://pesquisa.tainacan.org/wp-content/uploads/tainacan-items/4329/4359/repositorio-digital.pdf,"https://scholar.google.com/scholar?q=related:saEcJj2a01QJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
8,CA Simões,Repositório de Medidas para Organizações de Alta Maturidade em Processos de Software,2011.0,Universidade Federal do Rio de Janeiro,cos.ufrj.br,https://cos.ufrj.br/uploadfile/1309443420.pdf,"https://scholar.google.com/scholar?cites=3893490518452749473&as_sdt=2005&sciodt=0,5&hl=en",2,2024-04-25 13:44:42,PDF,,,,,,,,8,0.62,8,1,13.0,… Esta dissertação propõe um repositório de medidas adequado ao controle estatístico de processos de software para organizações que almejam alcançar a alta maturidade em …,https://cos.ufrj.br/uploadfile/1309443420.pdf,"https://scholar.google.com/scholar?q=related:oUS6eP90CDYJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
7,"SMSP Ferreira, NC Vieira Junior, BA Melo, FCL Leite",Em busca de um repositório ideal: análise de software baseado em arquivos abertos,2007.0,,icts.unb.br,http://icts.unb.br/jspui/handle/10482/12141,"https://scholar.google.com/scholar?cites=4259811341442379892&as_sdt=2005&sciodt=0,5&hl=en",3,2024-04-25 13:44:42,,,,,,,,,7,0.41,2,4,17.0,"… between the software SEER/OJS, Dici/Eprints and SOAC/OCS, in order to identify if they can be useful for this competition. Based on the results of the analysis of each software - using …",http://icts.unb.br/jspui/bitstream/10482/12141/1/ARTIGO_Em%20busca%20de%20um%20repositorio%20ideal.pdf,"https://scholar.google.com/scholar?q=related:dHDaeNjjHTsJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",ARTIGO,Artigo de periódico
5,VP Lopes,Repositório de Conhecimento de um Ambiente de Apoio a Experimentação em Engenharia de Software,2010.0,Dissertação de Mestrado,cos.ufrj.br,https://www.cos.ufrj.br/uploadfile/1277826877.pdf,"https://scholar.google.com/scholar?cites=6999805427444256880&as_sdt=2005&sciodt=0,5&hl=en",4,2024-04-25 13:44:42,PDF,,,,,,,,5,0.36,5,1,14.0,… de um repositório de conhecimento para ambiente de apoio à experimentação em Engenharia de Software (eSEE – experimental Software … de Engenharia de Software para apoiar a …,https://www.cos.ufrj.br/uploadfile/1277826877.pdf,"https://scholar.google.com/scholar?q=related:cJCqH_NNJGEJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
5,"LP Tizzei, HS Pinho, PAC Guerra…",Um repositório de componentes com suporte à evolução centrada na arquitetura de software,2005.0,… em Compnentes. Juiz de …,ic.unicamp.br,https://www.ic.unicamp.br/~tizzei/publications/Tizzei_2005_RCS.pdf,"https://scholar.google.com/scholar?cites=15380778983289777523&as_sdt=2005&sciodt=0,5&hl=en",5,2024-04-25 13:44:42,PDF,,,,,,,,5,0.26,1,4,19.0,… of a reusable software … repositório de componentes software reutilizáveis que oferece apoio `a evoluçao centrada na arquitetura de componentes. O desenvolvimento desse repositório …,https://www.ic.unicamp.br/~tizzei/publications/Tizzei_2005_RCS.pdf,"https://scholar.google.com/scholar?q=related:c-3Hk_6Ac9UJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
6,DS Moura,Software Profile RAS: estendendo a padronização do Reusable Asset Specification e construindo um repositório de ativos,2013.0,,lume.ufrgs.br,https://lume.ufrgs.br/handle/10183/87582,"https://scholar.google.com/scholar?cites=8193678613770379896&as_sdt=2005&sciodt=0,5&hl=en",6,2024-04-25 13:44:42,,,,,,,,,6,0.55,6,1,11.0,"… um repositório de ativos que apoia a reutilização de software. … a estrutura do repositório de reutilização de software. Alguns … Esse trabalho propõe o Software Profile RAS (SW-RAS), …",https://lume.ufrgs.br/bitstream/handle/10183/87582/000911204.pdf,"https://scholar.google.com/scholar?q=related:eKJ_iUnLtXEJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",DISSERTAÇÃO,Dissertação de Mestrado
3,LR Sousa,Processo de implantação de repositório institucional utilizando o software livre tainacan: aplicação na biblioteca do tribunal de contas do Distrito Federal,2020.0,,bdm.unb.br,https://bdm.unb.br/handle/10483/26426,"https://scholar.google.com/scholar?cites=8178653412679022669&as_sdt=2005&sciodt=0,5&hl=en",7,2024-04-25 13:44:42,,,,,,,,,3,0.75,3,1,4.0,"… Para tanto, implantar um repositório requer um planejamento e a partir disso surge o … para a implantação de um repositório institucional utilizando um software livre, garantindo o …",https://bdm.unb.br/bitstream/10483/26426/1/2020_LorenaRodriguesDeSousa_tcc.pdf,"https://scholar.google.com/scholar?q=related:TfjES_JpgHEJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",TRABALHO DE CONCLUSÃO DE CURSO - GRADUAÇÃO - BACHARELADO,Trabalho de conclusão de curso
2,LS Romani,Análise e Implantação de Repositório Digital Utilizando Software Livre DSPACE,2009.0,,aberto.univem.edu.br,https://aberto.univem.edu.br/handle/11077/286,"https://scholar.google.com/scholar?cites=4681171658745793112&as_sdt=2005&sciodt=0,5&hl=en",8,2024-04-25 13:44:42,,,,,,,,,2,0.13,2,1,15.0,"… Portanto um repositório institucional é constituído pelo software, pessoal responsável pelo gerenciamento do repositório e pelo seu conteúdo. … A Tabela 3 demonstra a lista …",https://aberto.univem.edu.br/bitstream/handle/11077/286/An%C3%A1lise+e+Implanta%C3%A7%C3%A3o+de+Reposit%C3%B3rio+Digital+utilizando+Software+Livre+DSpace.pdf?sequence=1,"https://scholar.google.com/scholar?q=related:WEorXNLc9kAJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",MONOGRAFIA,Trabalho de conclusão de curso
2,WAF Silva,OPENSMALS: um repositório aberto para auxiliar no ensino de modelagem de software empregando estratégias de aprendizagem ativa,2020.0,,tede.ufam.edu.br,https://tede.ufam.edu.br/handle/tede/7778,"https://scholar.google.com/scholar?cites=7071567273597505327&as_sdt=2005&sciodt=0,5&hl=en",9,2024-04-25 13:44:42,,,,,,,,,2,0.5,2,1,4.0,… de Software. A modelagem de software possibilita que os engenheiros de software … problemas específicos durante o desenvolvimento de software usando diferentes níveis de detalhes. …,https://tede.ufam.edu.br/bitstream/tede/7778/2/Tese_WilliamsonSilva_PPGI.pdf,"https://scholar.google.com/scholar?q=related:L48O9PdAI2IJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",TESE,Tese de Doutorado
1,"BM Souza, ALC Junqueira…",Mineração de Repositório de Software: Investigando a qualidade do software em projetos de código aberto,2020.0,ANALECTA-Centro …,seer.uniacademia.edu.br,https://seer.uniacademia.edu.br/index.php/ANL/article/download/2365/1584,"https://scholar.google.com/scholar?cites=11301391929364944500&as_sdt=2005&sciodt=0,5&hl=en",10,2024-04-25 13:44:42,PDF,,,,,,,,1,0.25,0,3,4.0,"Este artigo tem como principal finalidade investigar a qualidade de software em projetos de código fonte aberto, levando em consideração os padrões de qualidade e evolução …",https://seer.uniacademia.edu.br/index.php/ANL/article/download/2365/1584,"https://scholar.google.com/scholar?q=related:dJZDGRWc1pwJ:scholar.google.com/&scioq=intitle:reposit%C3%B3rio+software&hl=en&as_sdt=0,5&as_ylo=2004&as_yhi=2024&as_vis=1",,Tipo Desconhecido
